recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
9734,58,1618,1,4.687,2.716,14135,45.56991167,4.08992139
135691,650,1471,1,4.721,3.705,15900,51.20348028,9.02905611
135689,650,1469,1,3.647,3.715,16083,51.79217583,9.73276861
275134,1273,1104,1,4.813,3.635,20889,67.15390278,19.18051806
405874,1799,1441,1,3.558,3.674,17499,56.21885222,24.11344611
405872,1799,1439,1,3.775,3.849,17573,56.45664139,24.36785556
406030,1800,2203,1,3.517,3.601,17847,57.29054722,24.05352028
406029,1800,2202,1,2.77,2.834,17702,56.87110528,24.10523889
267361,1212,1935,1,2.827,2.651,8903,28.65979889,20.8082825
399944,1758,2416,1,3.487,2.125,9884,31.79289556,23.46276111
404711,1789,1490,1,3.478,3.579,13209,42.49580194,27.26078056
696063,2847,1572,1,5.372,3.539,14354,46.29376056,38.840525
553807,2391,1446,1,4.666,2.83,23015,74.24839889,33.1661325
548653,2361,2820,1,2.955,2.858,18246,58.53299361,31.88365861
709456,2899,2236,1,5.236,3.888,23453,75.619505,41.07589278
709457,2899,2237,1,2.957,3.123,23767,76.62862806,41.23464083
712179,2907,1275,1,3.644,3.069,23416,75.49223306,43.82331361
976735,3750,1042,1,5.009,3.832,28358,89.88148111,54.284965
548314,2359,1258,1,3.912,3.906,17448,56.07969472,32.2882725
701775,2868,1623,1,2.66,2.854,18532,59.46342333,40.01027056
702567,2871,2573,1,4.277,3.813,17529,56.29851139,42.57854333
842149,3332,2427,1,3.944,3.982,19343,62.16530694,47.71259111
838591,3317,3034,1,2.849,2.963,17358,55.73117889,47.78764667
401216,1763,3028,1,3.984,3.457,8796,28.27041917,29.57936528
535183,2286,1329,1,4.155,2.244,5447,17.43250583,35.62083028
541459,2318,1875,1,4.025,3.999,10670,34.32848944,33.84731556
541259,2317,1647,1,3.196,3.017,10064,32.38552917,34.98738639
692962,2837,2311,1,3.984,2.308,9640,30.97467083,42.32984306
681974,2798,1667,1,4.026,3.868,4436,14.18794139,38.49926139
826542,3282,2271,1,5.247,3.719,7607,24.49793778,48.62847361
942768,3654,2132,1,3.421,3.628,2920,9.24278389,53.89693
947475,3663,2668,1,3.729,2.349,3179,10.12662278,56.53740694
947905,3664,1985,1,2.689,2.299,746,2.29214722,59.15019444
947476,3663,2669,1,4.142,3.518,3821,12.27143833,57.81649972
699642,2859,2274,1,5.028,3.889,14668,47.37348361,44.85788
966013,3701,1393,1,3.77,2.992,14328,46.1991275,53.50645167
966681,3704,1332,1,5.939,3.942,13268,42.67413972,55.89552694
1058790,4031,3289,1,2.842,2.663,6686,21.45259417,60.23539778
1061089,4036,2834,1,3.162,3.313,8886,28.59868472,63.67014306
1130567,4319,1847,1,3.962,3.94,9598,30.85911139,72.4212425
1202628,4628,237,1,2.708,2.038,11767,37.94661861,89.26413528
55126,224,1333,1,4.25,3.488,43109,131.69432472,6.41890917
55249,225,1116,1,4.387,3.21,43813,133.84867333,5.94552917
179671,821,2130,1,4.099,3.562,47508,145.28797583,9.89239417
311922,1412,1695,1,3.462,3.49,49583,151.83313889,16.76266528
442325,1960,1550,1,3.955,3.042,47908,146.46292083,23.77427889
581388,2496,1728,1,5.156,3.291,45860,140.26437194,34.39252972
444014,1969,1261,1,3.795,3.455,50335,154.17252222,23.41732917
586365,2521,2271,1,5.14,3.905,53229,163.32767472,34.21554083
586025,2520,2631,1,5.325,3.635,55219,169.61980889,33.09424139
737280,3012,2519,1,4.467,3.11,54539,167.41607,44.49854806
868370,3452,2140,1,5.227,3.818,57399,176.51303417,47.77933944
994393,3833,1034,1,2.456,2.399,58001,178.45727278,53.69473361
735218,3004,1418,1,5.126,3.216,50801,155.5825025,41.49943528
735706,3007,1286,1,3.476,3.428,50372,154.27466972,42.91446583
581978,2499,1655,1,3.963,3.916,45688,139.71110889,36.80287528
300664,1359,2672,1,3.921,3.559,35550,110.03078667,21.98233972
433127,1916,2156,1,4.741,3.662,37740,116.11194806,24.39812389
433541,1918,2339,1,5.086,3.888,36046,111.43196556,27.79827889
570366,2444,1113,1,3.731,3.605,33018,103.19724861,33.96136417
863090,3424,1626,1,3.555,3.547,44471,135.90648556,47.15664944
862312,3420,2149,1,3.358,3.128,44127,134.80338944,48.04231361
864679,3432,1451,1,3.721,3.214,46853,143.21784694,51.67856694
1082244,4127,2431,1,4.406,3.436,41704,127.56678194,60.718415
992068,3820,1522,1,4.119,3.797,48319,147.748635,59.0390925
1147537,4392,1805,1,5.923,3.987,56211,172.85118639,69.33111833
1085131,4139,1304,1,4.046,3.679,46733,142.88156556,63.06179833
326949,1496,2119,1,4.4,3.882,78072,239.11252167,15.66459361
326750,1495,1994,1,3.747,3.653,77233,236.546735,15.42192222
329476,1513,1261,1,4.064,3.761,80170,245.48017556,19.15302333
458158,2036,1674,1,3.866,3.851,76952,235.68601083,26.29551056
322650,1470,1157,1,3.38,2.719,67927,208.67130222,18.39853222
457354,2032,1605,1,3.99,3.672,75695,231.95769139,29.1055025
595876,2566,1639,1,4.669,3.563,74666,228.87544306,33.31508722
455101,2019,1251,1,3.937,2.578,72105,221.24687333,27.07417556
593544,2553,1140,1,5.267,3.71,71053,217.95772611,30.37115583
744984,3047,1258,1,4.672,3.577,73555,225.48663139,40.39063306
330126,1518,1442,1,3.943,2.86,80816,247.55524028,21.48964583
601228,2590,1412,1,3.883,3.895,83207,255.07252139,30.92634389
599396,2582,3158,1,3.666,2.952,81693,250.32277056,31.60193694
603726,2604,1774,1,5.022,3.292,84380,258.76188833,36.80915611
749692,3070,1595,1,4.632,3.577,81833,250.72391361,38.92245444
881290,3510,1876,1,3.581,3.763,86414,264.86621611,46.00632194
883559,3523,1684,1,4.246,2.381,87833,269.15157222,51.48894944
877116,3492,1909,1,3.701,3.854,79992,244.93519889,46.31327583
883217,3521,1800,1,3.98,2.874,85670,262.60823167,52.30135972
1008886,3910,1710,1,5.253,3.853,87585,268.38180861,56.87246222
743126,3036,1151,1,3.266,3.043,71075,218.01981222,38.30790306
740240,3021,2645,1,2.788,2.845,63125,194.00763222,38.3182475
995106,3837,1070,1,3.41,3.298,59774,183.85605417,57.03259861
1002125,3875,1620,1,4.805,3.421,75458,231.23243,58.96602417
1095445,4190,2568,1,3.85,2.801,80331,245.99794306,61.51408333
1099605,4210,1048,1,3.016,3.132,83895,257.19677278,65.71463972
1091880,4174,1262,1,3.598,3.628,68756,211.09759694,64.37581194
1148016,4394,1870,1,3.718,3.849,61281,188.37099167,69.78821139
1152846,4414,2314,1,3.09,3.011,75097,230.18228278,71.83397722
1153346,4416,1799,1,3.998,2.215,72607,222.67663,74.15547611
116391,536,2354,1,4.552,3.993,104987,318.95582806,5.24806333
250364,1125,2186,1,4.391,2.533,107315,326.04642194,9.87500917
244842,1100,1720,1,4.152,3.677,101769,309.38697167,14.59519833
367611,1633,2442,1,3.703,3.753,101958,309.90940361,15.91205361
363267,1624,3414,1,5.574,3.668,98337,299.68912639,19.49209583
360148,1619,3542,1,5.522,3.956,97365,296.84693611,18.53426056
652264,2702,2764,1,4.446,3.3,104732,318.23408833,30.227075
648177,2695,4139,1,3.79,2.57,102488,311.55184722,33.96950833
522728,2225,1821,1,4.682,3.604,112748,342.50044333,24.60168083
526418,2243,1831,1,4.61,2.654,113881,345.94307722,28.08247361
666471,2736,1823,1,3.998,3.016,112158,340.75053778,30.22130833
518868,2208,2471,1,4.275,3.809,109176,331.75201083,25.34505028
807725,3224,3434,1,3.515,3.611,113726,345.4801975,42.32597806
935394,3638,2515,1,5.103,3.964,116584,354.39048917,46.45910778
785815,3169,3876,1,4.202,3.776,104887,318.69729222,38.04438222
930500,3628,3193,1,3.784,3.758,111169,337.82242333,50.28245083
485710,2133,2964,1,4.439,3.186,95947,292.68036222,27.95968139
615724,2643,3346,1,3.181,3.217,93194,284.73593528,32.68955306
786742,3171,2186,1,3.95,3.932,103413,314.29338417,41.16718972
778781,3156,2223,1,3.04,2.273,100453,305.557085,40.25668111
893783,3557,2486,1,2.866,2.893,97165,296.24351972,45.13069611
894856,3559,2797,1,5.329,3.929,99675,303.40793111,46.74132306
615213,2642,2929,1,3.682,3.631,92420,282.51997417,33.36267833
892759,3555,2112,1,3.939,3.775,95853,292.42641806,51.72948278
1011209,3920,1971,1,4.978,3.884,94779,289.27546694,53.36817083
790222,3180,2696,1,5.829,3.88,104060,316.23273389,43.92785167
1111114,4252,1870,1,2.725,2.458,105199,319.64412556,62.58546111
1109317,4246,1967,1,4.569,3.511,102422,311.32197722,61.83687111
1033141,3981,1590,1,5.38,3.51,109492,332.71359194,58.20125
1118387,4277,1102,1,4.837,3.611,112724,342.42044889,66.20069667
1160216,4444,2239,1,4.322,3.165,94376,288.13817889,67.66132639
1158818,4437,1491,1,4.15,3.614,89937,275.25994278,72.73365667
1164953,4465,2643,1,2.937,3.173,106032,322.16490028,70.560695
1197797,4606,3584,1,4.529,3.322,116727,354.83739417,77.63197861
1446449,5847,2333,1,3.343,2.139,3419,10.89682139,-17.98667833
1580832,6401,1355,1,5.259,3.807,114341,347.3615175,-21.17248222
